url,source,http_status,redirect_destination,redirect_chain,canonical,robots_meta,x_robots_tag,sitemap_inclusion,title,meta_description,h1_count,h1_text,word_count,page_type,structured_data_types,structured_data_valid,inbound_internal_links,outbound_internal_links,image_count,missing_alt_count,indexability_verdict,content_action,query_parameters,audit_status,notes
https://jacked.coach/,sitemap|known,200,,,https://jacked.coach/,"index, follow",,yes,Jacked | Free Gym Workout Tracker with Weekly Muscle Targets,"Jacked is a free iPhone workout tracker with weekly muscle targets, double progression, next-lift guidance, fast set logging, rest timers, and compatible Hevy import.",1,JACKED Hit your weekly targets. Progress every lift.,1423,home,SoftwareApplication|Organization|WebSite,yes,539,27,4,1,indexable,Keep,,audited,1 image(s) missing alt text
https://jacked.coach/gym-workout-planner,sitemap|known|internal:https://jacked.coach/,200,,,https://jacked.coach/gym-workout-planner,"index, follow",,yes,Gym Workout Planner for iPhone with Next-Set Targets | Jacked,"Plan your training split, set rep ranges and weekly muscle targets, log each workout, and use recent performance to guide the next set with Jacked for iPhone.",1,Plan the workout. Know the next set.,570,acquisition_landing,SoftwareApplication|Organization|WebSite|FAQPage,yes,1,17,1,0,indexable,Keep,,audited,
https://jacked.coach/fitnotes-alternative,sitemap|known|internal:https://jacked.coach/,200,,,https://jacked.coach/fitnotes-alternative,"index, follow",,yes,FitNotes Alternative for iPhone | Import Workout CSV | Jacked,"Export FitNotes workout history as CSV, review it in Jacked before saving, and continue training on iPhone with your historical lifts and weekly muscle targets.",1,Bring the log. Get a clearer next target.,565,acquisition_landing,SoftwareApplication|Organization|WebSite|FAQPage,yes,3,18,1,0,indexable,Keep,,audited,
https://jacked.coach/tools,sitemap|known|internal:https://jacked.coach/|internal:https://jacked.coach/gym-workout-planner|internal:https://jacked.coach/fitnotes-alternative,200,,,https://jacked.coach/tools,"index, follow",,yes,Free Strength and Hypertrophy Training Tools | Jacked,"Free lifting calculators for strength levels, next-set targets, RIR, 1RM, plates, warm-ups, weekly volume, deloads, and workout splits.",1,Free Strength and Hypertrophy Tools,586,tools_hub,SoftwareApplication|Organization|WebSite,yes,300,80,0,0,indexable,Keep,,audited,
https://jacked.coach/blog,sitemap|known|internal:https://jacked.coach/|internal:https://jacked.coach/gym-workout-planner|internal:https://jacked.coach/fitnotes-alternative|internal:https://jacked.coach/tools,200,,,https://jacked.coach/blog,"index, follow",,yes,Training Library | Jacked,"Search the Jacked training library for hypertrophy, progressive overload, RIR, deloads, exercise selection, recovery, supplements, and workout app guidance.",1,Training library for smarter hypertrophy.,1534,blog_hub,SoftwareApplication|Organization|WebSite|CollectionPage,yes,835,58,0,0,indexable,Keep,,audited,
https://jacked.coach/workout-tracker,sitemap|known|internal:https://jacked.coach/|internal:https://jacked.coach/gym-workout-planner|internal:https://jacked.coach/fitnotes-alternative|internal:https://jacked.coach/tools|internal:https://jacked.coach/blog,200,,,https://jacked.coach/workout-tracker,"index, follow",,yes,Workout Tracker for iPhone That Guides Your Next Set | Jacked,"Log sets fast, see your previous result and next target, run rest timers, track weekly hard sets, and import compatible Hevy history with Jacked for iPhone.",1,Log the set. Know what comes next.,519,acquisition_landing,SoftwareApplication|Organization|WebSite|FAQPage,yes,305,16,1,0,indexable,Keep,,audited,
https://jacked.coach/progressive-overload,sitemap|known|internal:https://jacked.coach/|internal:https://jacked.coach/gym-workout-planner|internal:https://jacked.coach/fitnotes-alternative|internal:https://jacked.coach/tools|internal:https://jacked.coach/blog|internal:https://jacked.coach/workout-tracker,200,,,https://jacked.coach/progressive-overload,"index, follow",,yes,Progressive Overload App for iPhone | Jacked,"Use double progression, rep ranges, recent set history, RIR context, and weekly muscle targets to guide your next workout with Jacked for iPhone.",1,Progress every lift without guessing.,535,acquisition_landing,SoftwareApplication|Organization|WebSite|FAQPage,yes,306,16,1,0,indexable,Keep,,audited,
https://jacked.coach/strong-alternative,sitemap|known|internal:https://jacked.coach/|internal:https://jacked.coach/fitnotes-alternative,200,,,https://jacked.coach/strong-alternative,"index, follow",,yes,Strong Alternative for iPhone | Import Strong CSV | Jacked,"Export Strong workout data as CSV, review it in Jacked before saving, and continue on iPhone with workout history, lift progress, and next-set targets.",1,Leave Strong without leaving your history behind.,553,acquisition_landing,SoftwareApplication|Organization|WebSite|FAQPage,yes,3,17,1,0,indexable,Keep,,audited,
https://jacked.coach/hevy-alternative,sitemap|known|internal:https://jacked.coach/|internal:https://jacked.coach/gym-workout-planner|internal:https://jacked.coach/fitnotes-alternative|internal:https://jacked.coach/tools|internal:https://jacked.coach/blog|internal:https://jacked.coach/workout-tracker|internal:https://jacked.coach/progressive-overload|internal:https://jacked.coach/strong-alternative,200,,,https://jacked.coach/hevy-alternative,"index, follow",,yes,Hevy Alternative for iPhone | Import Workout History | Jacked,"Import supported Hevy, Strong, or FitNotes workout history into Jacked, review the preview before saving, and continue training with next-lift and weekly muscle targets.",1,Bring your training history with you.,567,acquisition_landing,SoftwareApplication|Organization|WebSite|FAQPage,yes,303,18,1,0,indexable,Keep,,audited,
https://jacked.coach/press,sitemap,200,,,https://jacked.coach/press,"index, follow",,yes,Press and Creator Kit | Jacked,"Jacked product facts, iPhone app footage, images, and short vertical clips for editorial and creator coverage.",1,Jacked keeps the next set clear.,309,site_page,SoftwareApplication|Organization|WebSite,yes,0,17,0,0,indexable,Improve,,audited,
